complaintcategory,status,complaintnumber,inspectiondate,bbl
05,CLOSED,1445230,2017-05-24,1016280020
05,CLOSED,1445500,2017-05-24,1016280020
05,CLOSED,1448920,2017-05-24,1016770044
86,CLOSED,1451450,2017-05-24,1016300065
04,ACTIVE,1451629,,1016770044
04,ACTIVE,1451725,,1016770044
04,CLOSED,1451172,2017-05-27,1018060007
04,CLOSED,1451629,2017-05-29,1016770044
73,CLOSED,1451903,2017-05-31,1016770040
03,CLOSED,1452285,2017-06-05,1018060007
09,ACTIVE,1452760,,1016610018
1L,ACTIVE,1452772,,1016770044
12,CLOSED,1222606,2017-06-13,1016380015
05,CLOSED,1446509,2017-06-14,1017090024
05,CLOSED,1450330,2017-06-14,1017080008
86,ACTIVE,1453018,,1017080008
86,CLOSED,1453018,2017-06-15,1017080008
59,ACTIVE,1453528,,1018060007
09,ACTIVE,1453648,,1017080008
04,ACTIVE,1453737,,1018060007
86,ACTIVE,1453849,,1016380015
05,ACTIVE,1453783,,1016280020
83,ACTIVE,1453769,,1016280020
59,CLOSED,1453528,2017-06-23,1018060007
86,ACTIVE,1453849,2017-06-24,1016380015
04,ACTIVE,1453871,,1016660028
86,ACTIVE,1453849,2017-06-25,1016380015
86,CLOSED,1453849,2017-06-25,1016380015
04,CLOSED,1453737,2017-06-26,1018060007
09,ACTIVE,1454070,,1016610018
91,ACTIVE,1454183,,1016610018
91,ACTIVE,1454183,2017-06-29,1016610018
91,CLOSED,1454183,2017-07-01,1016610018
05,ACTIVE,1454389,,1016660028
86,ACTIVE,1454425,,1016610018
86,CLOSED,1454425,2017-07-06,1016610018
05,CLOSED,1450137,2017-07-06,1016380015
83,CLOSED,1450428,2017-07-06,1016670009
04,CLOSED,1453871,2017-07-08,1016660028
1L,ACTIVE,1452772,2017-07-10,1016770044
83,CLOSED,1450234,2017-07-10,1016770044
1Z,ACTIVE,1455098,,1016280020
1Z,ACTIVE,1455096,,1016670016
59,ACTIVE,1455089,,1016280020
59,ACTIVE,1455090,,1016670016
5H,ACTIVE,1455044,,1016280020
5H,ACTIVE,1455045,,1016670016
5H,ACTIVE,1455046,,1018060007
1L,ACTIVE,1455073,,1016670016
5H,CLOSED,1455045,2017-07-12,1016670016
5H,CLOSED,1455044,2017-07-12,1016280020
59,CLOSED,1455089,2017-07-12,1016280020
05,ACTIVE,1455151,,1016300069
86,ACTIVE,1455287,,1016670016
86,ACTIVE,1455288,,1016670016
86,ACTIVE,1455294,,1016670016
1L,CLOSED,1455073,2017-07-12,1016670016
86,CLOSED,1455287,2017-07-15,1016670016
86,CLOSED,1455288,2017-07-15,1016670016
86,CLOSED,1455294,2017-07-15,1016670016
05,ACTIVE,1455367,,1017090024
59,CLOSED,1455090,2017-07-12,1016670016
83,ACTIVE,1455413,,1016670016
09,ACTIVE,1455534,,1016280020
30,CLOSED,1455546,2017-07-18,1016280020
86,ACTIVE,1455518,,1016670016
09,ACTIVE,1455628,,1016300067
83,CLOSED,1455413,2017-07-18,1016670016
09,ACTIVE,1455631,,1016300061
45,CLOSED,1450891,2017-07-18,1016770040
83,CLOSED,1450955,2017-07-18,1018060007
09,ACTIVE,1455629,,1016300065
09,ACTIVE,1455626,,1016300072
09,ACTIVE,1455630,,1016300063
05,ACTIVE,1455625,,1016810007
