receiveddate,count
2017-03-24,3
2016-12-10,1
2017-12-28,21
2015-09-16,2
2015-08-27,1
2016-07-19,1
2015-09-01,2
2014-07-08,1
2016-02-04,2
2018-01-09,6
2014-12-16,1
2017-11-21,1
2015-09-28,3
2015-11-03,3
2016-08-23,2
2015-02-23,2
2017-11-16,4
2016-01-20,2
2016-11-17,1
2017-06-01,1
2015-11-07,2
2015-11-09,1
2016-02-23,2
2017-11-04,16
2017-12-15,9
2015-11-25,3
2014-07-29,3
2016-07-05,1
2017-07-31,4
2017-09-19,1
2014-11-02,3
2015-04-02,2
2017-05-22,5
2015-02-15,1
2015-02-26,3
2016-11-02,13
2017-10-16,1
2016-10-15,4
2016-12-12,4
2017-09-25,1
2014-09-12,1
2017-08-16,1
2015-04-07,2
2015-06-19,2
2017-10-12,2
2017-11-02,15
2017-09-02,1
2015-09-09,7
2017-11-05,21
2015-05-25,1
2016-12-08,6
2014-06-12,1
2014-12-03,3
2016-10-29,2
2016-03-07,2
2015-02-10,2
2015-04-24,6
2015-10-23,1
2016-05-13,1
2016-03-15,7
2016-07-27,1
2016-03-01,13
2017-04-24,1
2014-11-05,1
2016-11-09,1
2014-11-22,3
2017-12-18,3
2017-09-06,1
2017-09-07,4
2014-10-30,6
2015-10-12,1
2015-02-01,4
2015-04-30,3
2015-01-24,1
2015-05-18,1
2014-11-27,1
2017-03-06,3
2016-12-15,3
2016-04-17,2
2017-02-15,3
2015-08-06,5
2018-02-28,5
2015-09-23,4
2015-05-02,1
2016-09-18,1
2015-06-16,2
2014-07-24,2
2015-12-16,1
2015-10-24,1
2015-05-14,1
2016-08-10,3
2017-01-08,14
2015-10-27,2
2018-01-12,4
2016-07-13,2
2015-06-08,2
2015-05-17,1
2015-12-20,3
2017-03-14,1
2015-06-05,4
2016-08-21,2
2017-03-21,1
2015-01-10,1
2017-08-24,1
2016-09-10,1
2014-10-21,2
2017-09-04,1
2017-07-16,5
2015-11-24,5
2015-02-28,1
2016-03-27,1
2016-12-03,4
2016-09-22,1
2017-12-16,8
2017-08-01,1
2016-12-30,3
2014-06-20,1
2015-03-14,1
2016-08-07,1
2017-08-31,1
2017-03-03,6
2015-11-23,6
2016-03-29,1
2017-06-15,2
2016-05-16,2
2015-08-03,2
2017-10-09,6
2017-02-19,3
2014-10-07,1
2015-06-09,1
2017-06-20,3
2017-10-27,2
2014-12-21,1
2017-03-01,1
2014-12-30,1
2016-05-03,2
2015-09-25,2
2014-11-14,3
2015-12-21,10
2016-03-13,1
2015-10-03,5
2017-09-11,1
2015-10-04,2
2017-10-28,1
2016-06-13,1
2017-06-08,3
2014-12-01,4
2015-03-27,2
2016-02-13,7
2015-05-29,1
2014-11-03,1
2017-12-20,2
2015-02-16,8
2016-08-20,1
2016-06-14,3
2017-12-12,1
2017-02-11,2
2015-03-08,1
2014-11-29,3
2015-08-29,2
2015-10-09,4
2016-12-16,5
2016-06-06,1
2017-06-27,5
2014-11-17,3
2017-04-25,3
2016-10-07,2
2017-05-03,2
2016-02-10,3
2015-10-14,1
2015-04-27,1
2015-04-10,2
2017-04-23,1
2017-01-21,2
2016-03-20,2
2018-02-04,2
2014-07-17,1
2017-12-22,2
2017-02-26,4
2016-05-11,1
2016-10-21,1
2016-07-16,2
2017-01-12,3
2017-04-21,4
2016-02-28,3
2014-11-19,13
2017-04-28,1
2017-11-14,5
2017-12-04,5
2015-05-09,1
2016-02-09,2
2017-01-16,4
2015-11-15,1
2015-12-18,2
2015-11-17,2
2014-12-31,1
2015-07-17,3
2017-11-01,10
2018-02-15,1
2014-12-11,1
2017-05-30,6
2017-10-07,2
2017-01-02,3
2017-02-18,5
2016-10-09,1
2017-07-29,1
2017-01-14,5
2016-05-24,1
2017-07-27,1
2016-04-11,1
2015-04-25,1
2015-11-27,3
2016-06-07,1
2016-06-10,2
2017-06-06,2
2015-08-25,1
2015-06-01,1
2015-08-21,1
2014-10-26,9
2014-08-05,5
2016-11-07,11
2015-02-09,2
2016-03-25,2
2015-12-07,1
2016-10-31,2
2014-09-24,2
2015-05-31,1
2016-12-04,3
2017-02-24,3
2016-08-16,1
2014-09-29,1
2017-02-27,8
2017-07-11,2
2015-11-04,4
2016-05-08,3
2016-09-19,1
2017-12-25,1
2016-04-25,2
2015-02-25,1
2015-10-13,5
2017-11-18,4
2015-06-18,1
2017-05-25,3
2015-01-20,5
2017-11-15,11
2014-10-08,1
2016-12-09,11
2016-02-08,1
2017-02-13,5
2014-11-21,5
2017-07-03,2
2017-11-20,7
2015-08-07,1
2016-02-03,1
2017-01-18,5
2017-08-11,2
2017-06-22,1
2017-09-29,1
2018-01-31,5
2016-06-03,2
2017-10-18,10
2015-12-08,2
2016-12-26,2
2015-01-02,3
2017-01-05,1
2016-08-11,2
2017-09-21,1
2016-06-21,1
2016-05-12,3
2015-06-15,1
2015-02-07,2
2014-12-27,2
2017-01-24,2
2017-06-17,1
2017-08-20,1
2016-02-01,3
2015-09-27,1
2017-12-30,17
2014-11-26,5
2014-12-15,2
2014-10-14,1
2017-08-07,1
2017-04-27,1
2017-11-10,28
2014-06-30,1
2017-05-19,4
2017-02-16,2
2016-03-11,1
2016-10-25,1
2016-03-04,4
2016-04-21,3
2017-05-18,2
2016-06-20,1
2017-11-08,12
2017-11-26,2
2014-09-05,1
2018-02-10,4
2017-04-29,1
2016-08-05,1
2015-12-29,1
2015-11-28,1
2014-08-28,3
2017-06-28,5
2017-03-05,2
2014-06-25,2
2017-08-27,2
2014-09-09,2
2015-08-18,3
2016-11-24,2
2017-04-19,6
2017-04-14,1
2015-02-08,4
2016-12-07,2
2017-09-15,2
2017-12-01,11
2015-04-05,1
2016-10-22,3
2017-02-28,5
