word	time	filler
"142 EAST 98 STREET"	1016250048	0
"138 EAST 98 STREET"	1016250050	0
"1515 LEXINGTON AVENUE"	1016250051	0
"1513 LEXINGTON AVENUE"	1016250052	0
"1511 LEXINGTON AVENUE"	1016250053	0
"114 EAST 98 STREET"	1016250067	0
"112 EAST 98 STREET"	1016250068	0
"1269 PARK AVENUE"	1016250069	0
"1267 PARK AVENUE"	1016250070	0
"1265 PARK AVENUE"	1016250071	0
"1263 PARK AVENUE"	1016250072	0
"101B EAST 97 STREET"	1016250101	0
"101C EAST 97 STREET"	1016250102	0
"104 EAST 98 STREET"	1016250168	0
"1281 PARK AVENUE"	1016260001	0
"1539 LEXINGTON AVENUE"	1016260021	0
"1782 LEXINGTON AVENUE"	1016260040	0
"1301 PARK AVENUE"	1016270001	0
"1557 LEXINGTON AVENUE"	1016270020	0
"1555 LEXINGTON AVENUE"	1016270021	0
"1553 LEXINGTON AVENUE"	1016270022	0
"153 EAST 99 STREET"	1016270023	0
"155 EAST 99 STREET"	1016270024	0
"157 EAST 99 STREET"	1016270025	0
"159 EAST 99 STREET"	1016270026	0
"161 EAST 99 STREET"	1016270027	0
"163 EAST 99 STREET"	1016270028	0
"165 EAST 99 STREET"	1016270029	0
"167 EAST 99 STREET"	1016270030	0
"169 EAST 99 STREET"	1016270031	0
"171 EAST 99 STREET"	1016270032	0
"1786 3 AVENUE"	1016270033	0
"1788 3 AVENUE"	1016270034	0
"1790 3 AVENUE"	1016270035	0
"1792 3 AVENUE"	1016270036	0
"1794 3 AVENUE"	1016270037	0
"1796 3 AVENUE"	1016270038	0
"1798 3 AVENUE"	1016270039	0
"1800 3 AVENUE"	1016270040	0
"170 EAST 100 STREET"	1016270041	0
"168 EAST 100 STREET"	1016270042	0
"166 EAST 100 STREET"	1016270043	0
"164 EAST 100 STREET"	1016270044	0
"162 EAST 100 STREET"	1016270045	0
"160 EAST 100 STREET"	1016270046	0
"156 EAST 100 STREET"	1016270048	0
"154 EAST 100 STREET"	1016270049	0
"1565 LEXINGTON AVENUE"	1016270050	0
"1563 LEXINGTON AVENUE"	1016270051	0
"1561 LEXINGTON AVENUE"	1016270052	0
"1559 LEXINGTON AVENUE"	1016270053	0
"158 EAST 100 STREET"	1016277501	0
"101 EAST 100 STREET"	1016280001	0
"103 EAST 100 STREET"	1016280002	0
"1325 PARK AVENUE"	1016280004	0
"111 EAST 100 STREET"	1016280006	0
"119 EAST 100 STREET"	1016280010	0
"123 EAST 100 STREET"	1016280012	0
"1570 LEXINGTON AVENUE"	1016280013	0
"1572 LEXINGTON AVENUE"	1016280014	0
"1574 LEXINGTON AVENUE"	1016280015	0
"1576 LEXINGTON AVENUE"	1016280016	0
"1569 LEXINGTON AVENUE"	1016280020	1
"1567 LEXINGTON AVENUE"	1016280022	1
"179 EAST 100 STREET"	1016280024	0
"183 EAST 100 STREET"	1016280026	0
"187 EAST 100 STREET"	1016280028	0
"189 EAST 100 STREET"	1016280029	0
"191 EAST 100 STREET"	1016280030	0
"193 EAST 100 STREET"	1016280031	0
"195 EAST 100 STREET"	1016280032	0
"1802 3 AVENUE"	1016280033	0
"1804 3 AVENUE"	1016280034	0
"1806 3 AVENUE"	1016280035	0
"1808 3 AVENUE"	1016280036	0
"1810 3 AVENUE"	1016280037	0
"1814 3 AVENUE"	1016280039	0
"192 EAST 101 STREET"	1016280042	0
"190 EAST 101 STREET"	1016280043	0
"188 EAST 101 STREET"	1016280044	0
"186 EAST 101 STREET"	1016280045	0
"184 EAST 101 STREET"	1016280046	0
"182 EAST 101 STREET"	1016280047	0
"180 EAST 101 STREET"	1016280048	0
"178 EAST 101 STREET"	1016280049	0
"1575 LEXINGTON AVENUE"	1016280050	1
"1571 LEXINGTON AVENUE"	1016280052	1
"1578 LEXINGTON AVENUE"	1016280057	0
"1584 LEXINGTON AVENUE"	1016280058	0
"134 EAST 101 STREET"	1016280060	0
"130 EAST 101 STREET"	1016280062	0
"124 EAST 101 STREET"	1016280064	0
"122 EAST 101 STREET"	1016280065	0
"118 EAST 101 STREET"	1016280066	0
"116 EAST 101 STREET"	1016280067	0
"112 EAST 101 STREET"	1016280068	0
"110 EAST 101 STREET"	1016280069	0
"106 EAST 101 STREET"	1016280070	0
"104 EAST 101 STREET"	1016280071	0
"100 EAST 101 STREET"	1016280072	0
"107 EAST 100 STREET"	1016280103	0
"138 EAST 101 STREET"	1016280159	0
"126 EAST 101 STREET"	1016280163	0
"120 EAST 101 STREET"	1016280165	0
"114 EAST 101 STREET"	1016280167	0
"108 EAST 101 STREET"	1016280169	0
"102 EAST 101 STREET"	1016280171	0
"105 EAST 100 STREET"	1016287501	0
"109 EAST 100 STREET"	1016287502	0
"1810 3 AVENUE"	1016287503	0
"101 EAST 101 STREET"	1016290001	0
"105 EAST 101 STREET"	1016290002	0
"109 EAST 101 STREET"	1016290003	0
"113 EAST 101 STREET"	1016290004	0
"117 EAST 101 STREET"	1016290006	0
"121 EAST 101 STREET"	1016290008	0
"123 EAST 101 STREET"	1016290009	0
"125 EAST 101 STREET"	1016290010	0
"127 EAST 101 STREET"	1016290011	0
"129 EAST 101 STREET"	1016290012	0
"131 EAST 101 STREET"	1016290013	0
"1590 LEXINGTON AVENUE"	1016290014	0
"1600 LEXINGTON AVENUE"	1016290016	0
"169 EAST 101 STREET"	1016290024	0
"171 EAST 101 STREET"	1016290025	0
"173 EAST 101 STREET"	1016290027	0
"175 EAST 101 STREET"	1016290028	0
"177 EAST 101 STREET"	1016290030	0
"1834 3 AVENUE"	1016290033	0
"1836 3 AVENUE"	1016290040	0
"162 EAST 102 STREET"	1016290047	0
"160 EAST 102 STREET"	1016290048	0
"158 EAST 102 STREET"	1016290049	0
"156 EAST 102 STREET"	1016290050	0
"1602 LEXINGTON AVENUE"	1016290057	0
"1606 LEXINGTON AVENUE"	1016290058	0
"1612 LEXINGTON AVENUE"	1016290059	0
"124 EAST 102 STREET"	1016290060	0
"122 EAST 102 STREET"	1016290061	0
"120 EAST 102 STREET"	1016290062	0
"118 EAST 102 STREET"	1016290063	0
"116 EAST 102 STREET"	1016290064	0
"114 EAST 102 STREET"	1016290065	0
"112 EAST 102 STREET"	1016290066	0
"1353 PARK AVENUE"	1016290072	0
"103 EAST 101 STREET"	1016290101	0
"107 EAST 101 STREET"	1016290102	0
"111 EAST 101 STREET"	1016290103	0
"1596 LEXINGTON AVENUE"	1016290115	0
